;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/17/2020 9:28:40 PM
;----------------------------------------------

;Address Opcode 	ASM
;Arithmetic.c,42 :: 		i++;
0x0051	0x0AA9      	INCF       _i, 1
0x0052	0x1903      	BTFSC      STATUS, 2
0x0053	0x0AAA      	INCF       _i+1, 1
;Arithmetic.c,43 :: 		N1 = ch(i);
0x0054	0x0829      	MOVF       _i, 0
0x0055	0x00AE      	MOVWF      FARG_ch_num
0x0056	0x082A      	MOVF       _i+1, 0
0x0057	0x00AF      	MOVWF      FARG_ch_num+1
0x0058	0x2127      	CALL       _ch
0x0059	0x1283      	BCF        STATUS, 5
0x005A	0x0840      	MOVF       R0, 0
0x005B	0x00AD      	MOVWF      _N1
;Arithmetic.c,44 :: 		lcd_chr(2,1,N1);
0x005C	0x3002      	MOVLW      2
0x005D	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x005E	0x3001      	MOVLW      1
0x005F	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x0060	0x0840      	MOVF       R0, 0
0x0061	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x0062	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,45 :: 		if(i==10)
0x0063	0x3000      	MOVLW      0
0x0064	0x062A      	XORWF      _i+1, 0
0x0065	0x1D03      	BTFSS      STATUS, 2
0x0066	0x2869      	GOTO       L__main39
0x0067	0x300A      	MOVLW      10
0x0068	0x0629      	XORWF      _i, 0
L__main39:
0x0069	0x1D03      	BTFSS      STATUS, 2
0x006A	0x2874      	GOTO       L_main5
;Arithmetic.c,47 :: 		i=0;
0x006B	0x01A9      	CLRF       _i
0x006C	0x01AA      	CLRF       _i+1
;Arithmetic.c,48 :: 		lcd_chr(2,1,'0');
0x006D	0x3002      	MOVLW      2
0x006E	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x006F	0x3001      	MOVLW      1
0x0070	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x0071	0x3030      	MOVLW      48
0x0072	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x0073	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,49 :: 		}
L_main5:
;Arithmetic.c,50 :: 		}
L_main4:
;Arithmetic.c,51 :: 		}
L_main2:
;Arithmetic.c,53 :: 		if(PORTA.B1 == 0)
0x0074	0x1885      	BTFSC      PORTA, 1
0x0075	0x28A5      	GOTO       L_main6
;Arithmetic.c,55 :: 		delay_ms(20);
0x0076	0x3034      	MOVLW      52
0x0077	0x00CC      	MOVWF      R12
0x0078	0x30F1      	MOVLW      241
0x0079	0x00CD      	MOVWF      R13
L_main7:
0x007A	0x0BCD      	DECFSZ     R13, 1
0x007B	0x287A      	GOTO       L_main7
0x007C	0x0BCC      	DECFSZ     R12, 1
0x007D	0x287A      	GOTO       L_main7
0x007E	0x0000      	NOP
0x007F	0x0000      	NOP
;Arithmetic.c,57 :: 		if(PORTA.B1 == 1)
0x0080	0x1C85      	BTFSS      PORTA, 1
0x0081	0x28A5      	GOTO       L_main8
;Arithmetic.c,59 :: 		j++;
0x0082	0x0AAB      	INCF       _j, 1
0x0083	0x1903      	BTFSC      STATUS, 2
0x0084	0x0AAC      	INCF       _j+1, 1
;Arithmetic.c,60 :: 		N2 = ch(j);
0x0085	0x082B      	MOVF       _j, 0
0x0086	0x00AE      	MOVWF      FARG_ch_num
0x0087	0x082C      	MOVF       _j+1, 0
0x0088	0x00AF      	MOVWF      FARG_ch_num+1
0x0089	0x2127      	CALL       _ch
0x008A	0x1283      	BCF        STATUS, 5
0x008B	0x0840      	MOVF       R0, 0
0x008C	0x009C      	MOVWF      _N2
;Arithmetic.c,61 :: 		lcd_chr(2,5,N2);
0x008D	0x3002      	MOVLW      2
0x008E	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x008F	0x3005      	MOVLW      5
0x0090	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x0091	0x0840      	MOVF       R0, 0
0x0092	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x0093	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,62 :: 		if(j==10)
0x0094	0x3000      	MOVLW      0
0x0095	0x062C      	XORWF      _j+1, 0
0x0096	0x1D03      	BTFSS      STATUS, 2
0x0097	0x289A      	GOTO       L__main40
0x0098	0x300A      	MOVLW      10
0x0099	0x062B      	XORWF      _j, 0
L__main40:
0x009A	0x1D03      	BTFSS      STATUS, 2
0x009B	0x28A5      	GOTO       L_main9
;Arithmetic.c,64 :: 		j=0;
0x009C	0x01AB      	CLRF       _j
0x009D	0x01AC      	CLRF       _j+1
;Arithmetic.c,65 :: 		lcd_chr(2,5,'0');
0x009E	0x3002      	MOVLW      2
0x009F	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x00A0	0x3005      	MOVLW      5
0x00A1	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x00A2	0x3030      	MOVLW      48
0x00A3	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x00A4	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,66 :: 		}
L_main9:
;Arithmetic.c,67 :: 		}
L_main8:
;Arithmetic.c,69 :: 		}
L_main6:
;Arithmetic.c,71 :: 		if(PORTA.B0 == 1 && PORTA.B1 == 1)
0x00A5	0x1C05      	BTFSS      PORTA, 0
0x00A6	0x28BC      	GOTO       L_main12
0x00A7	0x1C85      	BTFSS      PORTA, 1
0x00A8	0x28BC      	GOTO       L_main12
L__main37:
;Arithmetic.c,73 :: 		delay_ms(10);
0x00A9	0x301A      	MOVLW      26
0x00AA	0x00CC      	MOVWF      R12
0x00AB	0x30F8      	MOVLW      248
0x00AC	0x00CD      	MOVWF      R13
L_main13:
0x00AD	0x0BCD      	DECFSZ     R13, 1
0x00AE	0x28AD      	GOTO       L_main13
0x00AF	0x0BCC      	DECFSZ     R12, 1
0x00B0	0x28AD      	GOTO       L_main13
0x00B1	0x0000      	NOP
;Arithmetic.c,74 :: 		if(PORTA.B0 == 1 && PORTA.B1 == 1)
0x00B2	0x1C05      	BTFSS      PORTA, 0
0x00B3	0x28BC      	GOTO       L_main16
0x00B4	0x1C85      	BTFSS      PORTA, 1
0x00B5	0x28BC      	GOTO       L_main16
L__main36:
;Arithmetic.c,76 :: 		s++;
0x00B6	0x0A8C      	INCF       _s, 1
;Arithmetic.c,77 :: 		if(s == 4)
0x00B7	0x080C      	MOVF       _s, 0
0x00B8	0x3A04      	XORLW      4
0x00B9	0x1D03      	BTFSS      STATUS, 2
0x00BA	0x28BC      	GOTO       L_main17
;Arithmetic.c,79 :: 		s=0;
0x00BB	0x018C      	CLRF       _s
;Arithmetic.c,80 :: 		}
L_main17:
;Arithmetic.c,81 :: 		}
L_main16:
;Arithmetic.c,82 :: 		}
L_main12:
;Arithmetic.c,84 :: 		switch(s)
0x00BC	0x2907      	GOTO       L_main18
;Arithmetic.c,86 :: 		case 0:
L_main20:
;Arithmetic.c,87 :: 		lcd_chr(2,3,'+');
0x00BD	0x3002      	MOVLW      2
0x00BE	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x00BF	0x3003      	MOVLW      3
0x00C0	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x00C1	0x302B      	MOVLW      43
0x00C2	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x00C3	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,88 :: 		rs = i + j;
0x00C4	0x082B      	MOVF       _j, 0
0x00C5	0x0729      	ADDWF      _i, 0
0x00C6	0x009D      	MOVWF      _rs
0x00C7	0x082A      	MOVF       _i+1, 0
0x00C8	0x1803      	BTFSC      STATUS, 0
0x00C9	0x3E01      	ADDLW      1
0x00CA	0x072C      	ADDWF      _j+1, 0
0x00CB	0x009E      	MOVWF      _rs+1
;Arithmetic.c,89 :: 		break;
0x00CC	0x2917      	GOTO       L_main19
;Arithmetic.c,90 :: 		case 1:
L_main21:
;Arithmetic.c,91 :: 		lcd_chr(2,3,'-');
0x00CD	0x3002      	MOVLW      2
0x00CE	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x00CF	0x3003      	MOVLW      3
0x00D0	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x00D1	0x302D      	MOVLW      45
0x00D2	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x00D3	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,92 :: 		rs = i-j;
0x00D4	0x082B      	MOVF       _j, 0
0x00D5	0x0229      	SUBWF      _i, 0
0x00D6	0x009D      	MOVWF      _rs
0x00D7	0x082C      	MOVF       _j+1, 0
0x00D8	0x1C03      	BTFSS      STATUS, 0
0x00D9	0x3E01      	ADDLW      1
0x00DA	0x022A      	SUBWF      _i+1, 0
0x00DB	0x009E      	MOVWF      _rs+1
;Arithmetic.c,93 :: 		break;
0x00DC	0x2917      	GOTO       L_main19
;Arithmetic.c,94 :: 		case 2:
L_main22:
;Arithmetic.c,95 :: 		lcd_chr(2,3,'*');
0x00DD	0x3002      	MOVLW      2
0x00DE	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x00DF	0x3003      	MOVLW      3
0x00E0	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x00E1	0x302A      	MOVLW      42
0x00E2	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x00E3	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,96 :: 		rs = i * j;
0x00E4	0x0829      	MOVF       _i, 0
0x00E5	0x00C0      	MOVWF      R0
0x00E6	0x082A      	MOVF       _i+1, 0
0x00E7	0x00C1      	MOVWF      R0+1
0x00E8	0x082B      	MOVF       _j, 0
0x00E9	0x00C4      	MOVWF      R4
0x00EA	0x082C      	MOVF       _j+1, 0
0x00EB	0x00C5      	MOVWF      R4+1
0x00EC	0x233C      	CALL       _Mul_16X16_U
0x00ED	0x0840      	MOVF       R0, 0
0x00EE	0x009D      	MOVWF      _rs
0x00EF	0x0841      	MOVF       R0+1, 0
0x00F0	0x009E      	MOVWF      _rs+1
;Arithmetic.c,97 :: 		break;
0x00F1	0x2917      	GOTO       L_main19
;Arithmetic.c,98 :: 		case 3:
L_main23:
;Arithmetic.c,99 :: 		lcd_chr(2,3,'/');
0x00F2	0x3002      	MOVLW      2
0x00F3	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x00F4	0x3003      	MOVLW      3
0x00F5	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x00F6	0x302F      	MOVLW      47
0x00F7	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x00F8	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,100 :: 		rs = i / j;
0x00F9	0x082B      	MOVF       _j, 0
0x00FA	0x00C4      	MOVWF      R4
0x00FB	0x082C      	MOVF       _j+1, 0
0x00FC	0x00C5      	MOVWF      R4+1
0x00FD	0x0829      	MOVF       _i, 0
0x00FE	0x00C0      	MOVWF      R0
0x00FF	0x082A      	MOVF       _i+1, 0
0x0100	0x00C1      	MOVWF      R0+1
0x0101	0x2367      	CALL       _Div_16X16_U
0x0102	0x0840      	MOVF       R0, 0
0x0103	0x009D      	MOVWF      _rs
0x0104	0x0841      	MOVF       R0+1, 0
0x0105	0x009E      	MOVWF      _rs+1
;Arithmetic.c,101 :: 		break;
0x0106	0x2917      	GOTO       L_main19
;Arithmetic.c,102 :: 		}
L_main18:
0x0107	0x080C      	MOVF       _s, 0
0x0108	0x3A00      	XORLW      0
0x0109	0x1903      	BTFSC      STATUS, 2
0x010A	0x28BD      	GOTO       L_main20
0x010B	0x080C      	MOVF       _s, 0
0x010C	0x3A01      	XORLW      1
0x010D	0x1903      	BTFSC      STATUS, 2
0x010E	0x28CD      	GOTO       L_main21
0x010F	0x080C      	MOVF       _s, 0
0x0110	0x3A02      	XORLW      2
0x0111	0x1903      	BTFSC      STATUS, 2
0x0112	0x28DD      	GOTO       L_main22
0x0113	0x080C      	MOVF       _s, 0
0x0114	0x3A03      	XORLW      3
0x0115	0x1903      	BTFSC      STATUS, 2
0x0116	0x28F2      	GOTO       L_main23
L_main19:
;Arithmetic.c,106 :: 		IntToStr(rs,r);
0x0117	0x081D      	MOVF       _rs, 0
0x0118	0x00AE      	MOVWF      FARG_IntToStr_input
0x0119	0x081E      	MOVF       _rs+1, 0
0x011A	0x00AF      	MOVWF      FARG_IntToStr_input+1
0x011B	0x3020      	MOVLW      _r
0x011C	0x00B0      	MOVWF      FARG_IntToStr_output
0x011D	0x2199      	CALL       _IntToStr
;Arithmetic.c,107 :: 		lcd_out(2,10,r);
0x011E	0x3002      	MOVLW      2
0x011F	0x00AE      	MOVWF      FARG_Lcd_Out_row
0x0120	0x300A      	MOVLW      10
0x0121	0x00AF      	MOVWF      FARG_Lcd_Out_column
0x0122	0x3020      	MOVLW      _r
0x0123	0x00B0      	MOVWF      FARG_Lcd_Out_text
0x0124	0x22CD      	CALL       _Lcd_Out
;Arithmetic.c,108 :: 		}
0x0125	0x2844      	GOTO       L_main0
;Arithmetic.c,109 :: 		}
L_end_main:
0x0126	0x2926      	GOTO       $+0
; end of _main
_ch:
;Arithmetic.c,112 :: 		char ch(int num)
;Arithmetic.c,114 :: 		switch(num)
0x0127	0x2947      	GOTO       L_ch24
;Arithmetic.c,116 :: 		case 0: return '0'; break;
L_ch26:
0x0128	0x3030      	MOVLW      48
0x0129	0x1283      	BCF        STATUS, 5
0x012A	0x00C0      	MOVWF      R0
0x012B	0x2998      	GOTO       L_end_ch
;Arithmetic.c,117 :: 		case 1: return '1'; break;
L_ch27:
0x012C	0x3031      	MOVLW      49
0x012D	0x00C0      	MOVWF      R0
0x012E	0x2998      	GOTO       L_end_ch
;Arithmetic.c,118 :: 		case 2: return '2'; break;
L_ch28:
0x012F	0x3032      	MOVLW      50
0x0130	0x00C0      	MOVWF      R0
0x0131	0x2998      	GOTO       L_end_ch
;Arithmetic.c,119 :: 		case 3: return '3'; break;
L_ch29:
0x0132	0x3033      	MOVLW      51
0x0133	0x00C0      	MOVWF      R0
0x0134	0x2998      	GOTO       L_end_ch
;Arithmetic.c,120 :: 		case 4: return '4'; break;
L_ch30:
0x0135	0x3034      	MOVLW      52
0x0136	0x00C0      	MOVWF      R0
0x0137	0x2998      	GOTO       L_end_ch
;Arithmetic.c,121 :: 		case 5: return '5'; break;
L_ch31:
0x0138	0x3035      	MOVLW      53
0x0139	0x00C0      	MOVWF      R0
0x013A	0x2998      	GOTO       L_end_ch
;Arithmetic.c,122 :: 		case 6: return '6'; break;
L_ch32:
0x013B	0x3036      	MOVLW      54
0x013C	0x00C0      	MOVWF      R0
0x013D	0x2998      	GOTO       L_end_ch
;Arithmetic.c,123 :: 		case 7: return '7'; break;
L_ch33:
0x013E	0x3037      	MOVLW      55
0x013F	0x00C0      	MOVWF      R0
0x0140	0x2998      	GOTO       L_end_ch
;Arithmetic.c,124 :: 		case 8: return '8'; break;
L_ch34:
0x0141	0x3038      	MOVLW      56
0x0142	0x00C0      	MOVWF      R0
0x0143	0x2998      	GOTO       L_end_ch
;Arithmetic.c,125 :: 		case 9: return '9'; break;
L_ch35:
0x0144	0x3039      	MOVLW      57
0x0145	0x00C0      	MOVWF      R0
0x0146	0x2998      	GOTO       L_end_ch
;Arithmetic.c,126 :: 		}
L_ch24:
0x0147	0x3000      	MOVLW      0
0x0148	0x062F      	XORWF      FARG_ch_num+1, 0
0x0149	0x1D03      	BTFSS      STATUS, 2
0x014A	0x294D      	GOTO       L__ch42
0x014B	0x3000      	MOVLW      0
0x014C	0x062E      	XORWF      FARG_ch_num, 0
L__ch42:
0x014D	0x1903      	BTFSC      STATUS, 2
0x014E	0x2928      	GOTO       L_ch26
0x014F	0x3000      	MOVLW      0
0x0150	0x062F      	XORWF      FARG_ch_num+1, 0
0x0151	0x1D03      	BTFSS      STATUS, 2
0x0152	0x2955      	GOTO       L__ch43
0x0153	0x3001      	MOVLW      1
0x0154	0x062E      	XORWF      FARG_ch_num, 0
L__ch43:
0x0155	0x1903      	BTFSC      STATUS, 2
0x0156	0x292C      	GOTO       L_ch27
0x0157	0x3000      	MOVLW      0
0x0158	0x062F      	XORWF      FARG_ch_num+1, 0
0x0159	0x1D03      	BTFSS      STATUS, 2
0x015A	0x295D      	GOTO       L__ch44
0x015B	0x3002      	MOVLW      2
0x015C	0x062E      	XORWF      FARG_ch_num, 0
L__ch44:
0x015D	0x1903      	BTFSC      STATUS, 2
0x015E	0x292F      	GOTO       L_ch28
0x015F	0x3000      	MOVLW      0
0x0160	0x062F      	XORWF      FARG_ch_num+1, 0
0x0161	0x1D03      	BTFSS      STATUS, 2
0x0162	0x2965      	GOTO       L__ch45
0x0163	0x3003      	MOVLW      3
0x0164	0x062E      	XORWF      FARG_ch_num, 0
L__ch45:
0x0165	0x1903      	BTFSC      STATUS, 2
0x0166	0x2932      	GOTO       L_ch29
0x0167	0x3000      	MOVLW      0
0x0168	0x062F      	XORWF      FARG_ch_num+1, 0
0x0169	0x1D03      	BTFSS      STATUS, 2
0x016A	0x296D      	GOTO       L__ch46
0x016B	0x3004      	MOVLW      4
0x016C	0x062E      	XORWF      FARG_ch_num, 0
L__ch46:
0x016D	0x1903      	BTFSC      STATUS, 2
0x016E	0x2935      	GOTO       L_ch30
0x016F	0x3000      	MOVLW      0
0x0170	0x062F      	XORWF      FARG_ch_num+1, 0
0x0171	0x1D03      	BTFSS      STATUS, 2
0x0172	0x2975      	GOTO       L__ch47
0x0173	0x3005      	MOVLW      5
0x0174	0x062E      	XORWF      FARG_ch_num, 0
L__ch47:
0x0175	0x1903      	BTFSC      STATUS, 2
0x0176	0x2938      	GOTO       L_ch31
0x0177	0x3000      	MOVLW      0
0x0178	0x062F      	XORWF      FARG_ch_num+1, 0
0x0179	0x1D03      	BTFSS      STATUS, 2
0x017A	0x297D      	GOTO       L__ch48
0x017B	0x3006      	MOVLW      6
0x017C	0x062E      	XORWF      FARG_ch_num, 0
L__ch48:
0x017D	0x1903      	BTFSC      STATUS, 2
0x017E	0x293B      	GOTO       L_ch32
0x017F	0x3000      	MOVLW      0
0x0180	0x062F      	XORWF      FARG_ch_num+1, 0
0x0181	0x1D03      	BTFSS      STATUS, 2
0x0182	0x2985      	GOTO       L__ch49
0x0183	0x3007      	MOVLW      7
0x0184	0x062E      	XORWF      FARG_ch_num, 0
L__ch49:
0x0185	0x1903      	BTFSC      STATUS, 2
0x0186	0x293E      	GOTO       L_ch33
0x0187	0x3000      	MOVLW      0
0x0188	0x062F      	XORWF      FARG_ch_num+1, 0
0x0189	0x1D03      	BTFSS      STATUS, 2
0x018A	0x298D      	GOTO       L__ch50
0x018B	0x3008      	MOVLW      8
0x018C	0x062E      	XORWF      FARG_ch_num, 0
L__ch50:
0x018D	0x1903      	BTFSC      STATUS, 2
0x018E	0x2941      	GOTO       L_ch34
0x018F	0x3000      	MOVLW      0
0x0190	0x062F      	XORWF      FARG_ch_num+1, 0
0x0191	0x1D03      	BTFSS      STATUS, 2
0x0192	0x2995      	GOTO       L__ch51
0x0193	0x3009      	MOVLW      9
0x0194	0x062E      	XORWF      FARG_ch_num, 0
L__ch51:
0x0195	0x1903      	BTFSC      STATUS, 2
0x0196	0x2944      	GOTO       L_ch35
;Arithmetic.c,127 :: 		return 0;
0x0197	0x01C0      	CLRF       R0
;Arithmetic.c,128 :: 		}
L_end_ch:
0x0198	0x0008      	RETURN
; end of _ch
_IntToStr:
;__Lib_Conversions.c,195 :: 		
;__Lib_Conversions.c,201 :: 		
0x0199	0x1283      	BCF        STATUS, 5
0x019A	0x01B3      	CLRF       IntToStr_negative_L0
0x019B	0x01B4      	CLRF       IntToStr_negative_L0+1
;__Lib_Conversions.c,202 :: 		
0x019C	0x082E      	MOVF       FARG_IntToStr_input, 0
0x019D	0x00B5      	MOVWF      IntToStr_inword_L0
0x019E	0x082F      	MOVF       FARG_IntToStr_input+1, 0
0x019F	0x00B6      	MOVWF      IntToStr_inword_L0+1
;__Lib_Conversions.c,203 :: 		
0x01A0	0x3080      	MOVLW      128
0x01A1	0x062F      	XORWF      FARG_IntToStr_input+1, 0
0x01A2	0x00C0      	MOVWF      R0
0x01A3	0x3080      	MOVLW      128
0x01A4	0x0240      	SUBWF      R0, 0
0x01A5	0x1D03      	BTFSS      STATUS, 2
0x01A6	0x29A9      	GOTO       L__IntToStr167
0x01A7	0x3000      	MOVLW      0
0x01A8	0x022E      	SUBWF      FARG_IntToStr_input, 0
L__IntToStr167:
0x01A9	0x1803      	BTFSC      STATUS, 0
0x01AA	0x29B7      	GOTO       L_IntToStr37
;__Lib_Conversions.c,204 :: 		
0x01AB	0x3001      	MOVLW      1
0x01AC	0x00B3      	MOVWF      IntToStr_negative_L0
0x01AD	0x3000      	MOVLW      0
0x01AE	0x00B4      	MOVWF      IntToStr_negative_L0+1
;__Lib_Conversions.c,205 :: 		
0x01AF	0x082E      	MOVF       FARG_IntToStr_input, 0
0x01B0	0x3C00      	SUBLW      0
0x01B1	0x00B5      	MOVWF      IntToStr_inword_L0
0x01B2	0x082F      	MOVF       FARG_IntToStr_input+1, 0
0x01B3	0x1C03      	BTFSS      STATUS, 0
0x01B4	0x3E01      	ADDLW      1
0x01B5	0x01B6      	CLRF       IntToStr_inword_L0+1
0x01B6	0x02B6      	SUBWF      IntToStr_inword_L0+1, 1
;__Lib_Conversions.c,206 :: 		
L_IntToStr37:
;__Lib_Conversions.c,207 :: 		
0x01B7	0x0835      	MOVF       IntToStr_inword_L0, 0
0x01B8	0x00B7      	MOVWF      FARG_WordToStr_input
0x01B9	0x0836      	MOVF       IntToStr_inword_L0+1, 0
0x01BA	0x00B8      	MOVWF      FARG_WordToStr_input+1
0x01BB	0x0830      	MOVF       FARG_IntToStr_output, 0
0x01BC	0x00B9      	MOVWF      FARG_WordToStr_output
0x01BD	0x224F      	CALL       _WordToStr
;__Lib_Conversions.c,209 :: 		
0x01BE	0x3006      	MOVLW      6
0x01BF	0x00B1      	MOVWF      IntToStr_i_L0
0x01C0	0x3000      	MOVLW      0
0x01C1	0x00B2      	MOVWF      IntToStr_i_L0+1
;__Lib_Conversions.c,210 :: 		
L_IntToStr38:
0x01C2	0x0832      	MOVF       IntToStr_i_L0+1, 0
0x01C3	0x3C00      	SUBLW      0
0x01C4	0x1D03      	BTFSS      STATUS, 2
0x01C5	0x29C8      	GOTO       L__IntToStr168
0x01C6	0x0831      	MOVF       IntToStr_i_L0, 0
0x01C7	0x3C00      	SUBLW      0
L__IntToStr168:
0x01C8	0x1803      	BTFSC      STATUS, 0
0x01C9	0x29E3      	GOTO       L_IntToStr39
;__Lib_Conversions.c,211 :: 		
0x01CA	0x0831      	MOVF       IntToStr_i_L0, 0
0x01CB	0x0730      	ADDWF      FARG_IntToStr_output, 0
0x01CC	0x00C2      	MOVWF      R2
0x01CD	0x3001      	MOVLW      1
0x01CE	0x0231      	SUBWF      IntToStr_i_L0, 0
0x01CF	0x00C0      	MOVWF      R0
0x01D0	0x3000      	MOVLW      0
0x01D1	0x1C03      	BTFSS      STATUS, 0
0x01D2	0x3E01      	ADDLW      1
0x01D3	0x0232      	SUBWF      IntToStr_i_L0+1, 0
0x01D4	0x00C1      	MOVWF      R0+1
0x01D5	0x0840      	MOVF       R0, 0
